City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,khatanga,71.9667,102.5,-8.64,99,100,6.55,RU,1680543180
118,torremolinos,36.6204,-4.4998,69.64,61,0,9.22,ES,1680543193
119,kruisfontein,-34.0033,24.7314,64.89,84,4,14.56,ZA,1680543194
120,kabalo,-6.05,26.9167,71.28,94,89,2.8,CD,1680543194
121,kibala,9.1104,18.3463,98.55,23,0,3.44,TD,1680543194
122,tilichiki,60.4667,166.1,11.8,95,100,10.4,RU,1680543194
123,puerto ayora,-0.7393,-90.3518,89.56,85,68,5.99,EC,1680543117
124,aklavik,68.2191,-135.0107,6.87,88,42,1.25,CA,1680543195
125,saint-pierre,-21.3393,55.4781,75.56,88,0,3.44,RE,1680543195
126,bredasdorp,-34.5322,20.0403,63.77,77,78,7.72,ZA,1680543196
127,qaqortoq,60.7167,-46.0333,37.74,90,100,7.27,GL,1680543196
128,cidreira,-30.1811,-50.2056,74.62,63,8,11.21,BR,1680543196
129,halifax,44.6453,-63.5724,47.68,37,40,9.22,CA,1680542936
130,camacha,33.0833,-16.3333,63.82,77,40,23.02,PT,1680543197
131,luderitz,-26.6481,15.1594,64.99,69,0,21.56,NA,1680543197
132,vestmannaeyjar,63.4427,-20.2734,47.39,93,100,28.77,IS,1680543198
133,tupik,54.4253,119.9327,7.86,84,83,9.57,RU,1680543198
134,komsomolskiy,40.4272,71.7189,57.92,67,75,25.32,UZ,1680543198
135,victoria,22.2855,114.1577,72.97,95,99,1.99,HK,1680542912
136,nikolskoye,59.7035,30.7861,31.91,95,100,9.75,RU,1680543198
137,kirgiz-miyaki,53.6324,54.7979,40.77,75,80,6.33,RU,1680543199
138,narsaq,60.9167,-46.05,50.22,90,100,8.88,GL,1680543199
139,linjiang,41.8069,126.9078,52.02,53,100,2.84,CN,1680543200
140,ilulissat,69.2167,-51.1,17.62,53,20,18.41,GL,1680543200
141,port lincoln,-34.7333,135.8667,63.82,74,2,7.72,AU,1680543189
142,agadir,30.4202,-9.5982,70.25,44,1,3.51,MA,1680543201
143,mizdah,31.4451,12.9801,60.3,26,2,15.73,LY,1680543201
144,ancud,-41.8697,-73.8203,57.63,61,1,6.04,CL,1680543201
145,la asuncion,11.0333,-63.8628,80.37,71,0,18.07,VE,1680543201
146,viedma,-40.8135,-62.9967,74.5,34,0,6.24,AR,1680543143
147,orizona,-17.0314,-48.2958,78.33,60,81,6.6,BR,1680543202
148,dongli,23.5656,116.8194,64.38,94,100,2.24,CN,1680543203
149,lindi,-10.0,39.7167,74.59,96,98,4.03,TZ,1680543203
150,saint paul,44.9444,-93.0933,43.74,61,0,10.36,US,1680543203
151,mahebourg,-20.4081,57.7,79.25,78,40,6.91,MU,1680543142
152,broken hill,-31.95,141.4333,60.75,33,0,5.3,AU,1680543115
153,oranjemund,-28.55,16.4333,61.9,82,0,19.15,NA,1680543204
154,ughelli,5.4899,6.0074,77.79,91,99,6.26,NG,1680543204
155,fortuna,40.5982,-124.1573,45.93,86,87,3.0,US,1680542912
156,teluknaga,-6.0989,106.6381,79.18,88,20,8.05,ID,1680543205
157,east london,-33.0153,27.9116,68.23,75,68,20.74,ZA,1680543205
158,dourbali,11.8091,15.8632,94.51,14,60,8.55,TD,1680543205
159,valparaiso,-33.0393,-71.6273,82.63,42,0,10.36,CL,1680543131
160,roberval,48.5168,-72.2324,25.43,86,100,4.61,CA,1680543041
161,bukama,-9.2,25.85,72.19,92,92,1.01,CD,1680543206
162,tecoanapa,16.5167,-98.75,86.31,49,99,11.07,MX,1680543207
163,nsanje,-16.92,35.262,71.69,94,71,2.21,MW,1680543207
164,chapais,49.7834,-74.8492,28.18,97,100,8.75,CA,1680543207
165,awka,6.2101,7.0741,83.21,67,100,10.2,NG,1680543207
166,baykit,61.67,96.37,17.47,94,78,4.94,RU,1680543208
167,andilamena,-17.0167,48.5833,66.88,96,99,5.32,MG,1680543208
168,chippewa falls,44.9369,-91.3929,45.99,60,0,9.22,US,1680543109
169,yatou,37.15,122.3833,50.38,72,100,7.7,CN,1680543209
170,caconda,-13.7333,15.0667,62.8,85,64,2.73,AO,1680543209
171,san cristobal,7.7669,-72.225,82.58,44,99,9.51,VE,1680542930
172,jalu,29.0331,21.5482,71.17,39,1,18.23,LY,1680543210
173,dikson,73.5069,80.5464,-17.84,100,87,10.16,RU,1680543210
174,kieta,-6.2167,155.6333,78.84,86,87,1.83,PG,1680543210
175,simbahan,6.3032,120.5836,81.77,78,97,8.72,PH,1680543211
176,la tuque,47.4334,-72.7824,28.65,80,100,8.05,CA,1680543015
177,constitucion,-35.3333,-72.4167,67.73,54,100,15.9,CL,1680543211
178,hudson bay,52.85,-102.3842,13.46,78,99,7.18,CA,1680543212
179,saint anthony,45.0205,-93.218,43.11,63,0,8.05,US,1680543212
180,chuy,-33.6971,-53.4616,63.0,76,100,4.7,UY,1680543213
181,carnarvon,-24.8667,113.6333,75.99,74,81,10.51,AU,1680543213
182,xai-xai,-25.0519,33.6442,74.46,77,2,7.58,MZ,1680543214
183,asau,46.4333,26.4,42.28,95,100,5.17,RO,1680543214
184,cherskiy,68.75,161.3,-14.17,91,50,7.58,RU,1680543214
185,bathsheba,13.2167,-59.5167,86.61,58,20,18.41,BB,1680543215
186,nurlat,54.4277,50.8051,46.72,58,84,7.58,RU,1680543215
187,husavik,66.0449,-17.3389,38.3,98,100,9.22,IS,1680543215
188,itarema,-2.9248,-39.9167,81.95,75,74,5.86,BR,1680543213
189,kichmengskiy gorodok,59.9816,45.7854,36.48,98,100,9.4,RU,1680543216
190,seoul,37.5683,126.9778,63.97,23,0,11.5,KR,1680543009
191,dauphin,51.1494,-100.0502,8.74,66,0,10.36,CA,1680543216
192,paita,-5.0892,-81.1144,83.89,68,98,8.1,PE,1680543217
193,cockburn town,21.4612,-71.1419,77.54,78,17,15.61,TC,1680543134
194,shaunavon,49.6501,-108.4181,22.78,88,100,5.01,CA,1680543217
195,dingle,10.9995,122.6711,75.83,85,100,6.33,PH,1680543218
196,vanino,49.0869,140.2543,30.81,97,100,1.99,RU,1680543218
197,namtsy,62.7161,129.6658,10.96,97,100,4.79,RU,1680543218
198,ruteng,-8.6136,120.4721,62.29,92,94,0.22,ID,1680543219
199,saint-francois,46.4154,3.9054,44.67,79,100,11.5,FR,1680542962
200,kirovskaya,46.9748,40.0402,53.96,87,39,8.16,RU,1680543219
201,sungaipenuh,-2.0833,101.3833,63.14,96,99,1.5,ID,1680543219
202,iqaluit,63.7506,-68.5145,6.53,66,75,13.8,CA,1680543220
203,mahanoro,-19.9,48.8,76.91,85,85,3.8,MG,1680543220
204,aranos,-24.1333,19.1167,77.99,19,34,9.82,NA,1680543220
205,san quintin,30.4833,-115.95,58.1,65,79,23.0,MX,1680543220
206,omsukchan,62.5333,155.8,-18.89,100,56,3.47,RU,1680543221
207,roebourne,-20.7833,117.1333,82.72,72,11,12.3,AU,1680543059
208,lerwick,60.1545,-1.1494,44.6,77,46,20.69,GB,1680543221
